,author,cite_num,paper_num
0,Andrew Y. Ng,7390,19
1,Yoshua Bengio,5324,21
2,Geoffrey E. Hinton,3584,9
3,Honglak Lee,3279,10
4,Ronan Collobert,3223,9
5,Shai Shalev-Shwartz,3184,20
6,Jason Weston,3179,13
7,Ruslan R. Salakhutdinov,2632,9
8,Hugo Larochelle,2599,10
9,Quoc Le,2545,4
10,Andriy Mnih,2460,7
11,Yoram Singer,2406,5
12,Pascal Vincent,2137,4
13,Nathan Srebro,2085,8
14,Brian Kulis,2072,6
15,John Langford,2020,12
16,Jesse Davis,2004,6
17,David M. Blei,1972,6
18,Francis Bach,1929,9
19,Thorsten Joachims,1831,11
20,Mark Goadrich,1807,1
21,Inderjit S. Dhillon,1713,2
22,Trevor Darrell,1703,5
23,Rich Caruana,1700,5
24,Jean Ponce,1640,2
25,Julien Mairal,1630,5
26,Yong Yu,1610,4
27,Kai Yu,1596,9
28,Chris Burges,1507,1
29,Nicole Hamilton,1507,1
30,Matt Deeds,1507,1
31,Ari Lazier,1507,1
32,Erin Renshaw,1507,1
33,Greg Hullender,1507,1
34,Tal Shaked,1507,1
35,Rajat Raina,1504,3
36,Prateek Jain,1498,8
37,Vinod Nair,1484,1
38,Suvrit Sra,1481,11
39,Alexandru Niculescu-Mizil,1481,4
40,Rajesh Ranganath,1469,3
41,Pierre-Antoine Manzagol,1466,1
42,Qiang Yang,1461,9
43,John D. Lafferty,1440,1
44,Roger Grosse,1433,4
45,Hang Li,1431,5
46,Tie-Yan Liu,1401,4
47,Sergey Ioffe,1356,1
48,Christian Szegedy,1356,1
49,Carlos Guestrin,1352,10
50,Marc'Aurelio Ranzato,1310,3
51,Sham Kakade,1306,6
52,Guillermo Sapiro,1283,5
53,Kilian Weinberger,1283,13
54,Jason V. Davis,1271,1
55,Oriol Vinyals,1257,1
56,Judy Hoffman,1257,1
57,Ning Zhang,1257,1
58,Eric Tzeng,1257,1
59,Jeff Donahue,1257,1
60,Yangqing Jia,1257,1
61,Michael Jordan,1255,15
62,Andreas Krause,1244,17
63,Zoubin Ghahramani,1238,29
64,Greg Corrado,1229,2
65,Alex Smola,1221,13
