,author,cite_num,paper_num
0,Ilya Sutskever,17688,17
1,Geoffrey E. Hinton,17673,30
2,Andrew Y. Ng,16409,46
3,Alex Krizhevsky,11057,1
4,Yoshua Bengio,10287,50
5,David M. Blei,8196,23
6,Honglak Lee,7248,24
7,Ruslan R. Salakhutdinov,6609,41
8,Hugo Larochelle,5768,17
9,Kai Chen,5592,3
10,Tomas Mikolov,5096,5
11,Jeff Dean,4826,3
12,Andriy Mnih,4677,11
13,Marc'Aurelio Ranzato,4080,10
14,Francis R. Bach,4000,24
15,Greg S. Corrado,3981,2
16,Jason Weston,3972,17
17,Quoc V. Le,3967,14
18,Zoubin Ghahramani,3788,58
19,Michael I. Jordan,3689,57
20,Tong Zhang,3617,34
21,Rajat Raina,3534,4
22,Prof. Bernhard Schalkopf,3531,29
23,Yoram Singer,3464,14
24,Eric P. Xing,3378,34
25,Ronan Collobert,3366,11
26,Inderjit S. Dhillon,3346,35
27,Shai Shalev-Shwartz,3343,25
28,John Langford,3299,26
29,Rob Fergus,3272,14
30,Oriol Vinyals,3262,10
31,Antonio Torralba,3188,18
32,Yann LeCun,3180,18
33,Alexis Battle,3052,3
34,Alex J. Smola,3014,23
35,Pietro Perona,2918,6
36,John D. Lafferty,2887,12
37,Trevor Darrell,2802,19
38,Julien Mairal,2783,11
39,Kai Yu,2769,19
40,Brian Kulis,2763,12
41,Andrew Zisserman,2741,11
42,Arthur Gretton,2716,32
43,Christof Koch,2626,3
44,Jonathan Harel,2620,2
45,Nathan Srebro,2606,16
46,Prateek Jain,2579,32
47,Quoc Le,2545,4
48,Pascal Vincent,2497,9
49,Jean Ponce,2483,4
50,Pradeep K. Ravikumar,2469,37
51,Guillermo Sapiro,2445,13
52,Martin J. Wainwright,2379,26
53,Lawrence K. Saul,2352,9
54,Francis Bach,2344,21
55,Max Welling,2290,30
56,John Blitzer,2251,5
57,Alex Graves,2167,13
58,Thorsten Joachims,2146,14
59,Pascal Lamblin,2091,2
60,Dan Popovici,2076,1
61,Greg Corrado,2074,3
62,Kilian Q. Weinberger,2042,10
63,Yair Weiss,2037,10
64,Jesse Davis,2015,8
65,Le Song,2014,38
66,Suvrit Sra,2007,23
67,Richard Socher,1997,9
68,Matthieu Devin,1992,2
69,Rajat Monga,1992,2
70,Andreas Krause,1973,37
71,Rong Jin,1970,42
72,Lihong Li,1970,15
73,Daphne Koller,1929,18
74,Rich Caruana,1875,7
75,Vinod Nair,1852,4
76,Aaron Courville,1825,7
77,Partha Niyogi,1821,5
78,Hang Li,1814,10
79,David Silver,1810,17
80,Mark Goadrich,1807,1
81,Andrew McCallum,1801,14
82,Yong Yu,1798,5
83,Karsten M. Borgwardt,1788,8
84,Benjamin Recht,1741,6
85,Jon D. Mcauliffe,1725,2
86,Adam Coates,1725,9
87,Koby Crammer,1703,19
88,Juergen Schmidhuber,1694,13
89,Thomas L. Griffiths,1675,21
90,Qiang Yang,1670,11
91,Christian Szegedy,1649,3
92,Carlos Guestrin,1646,20
93,Mehryar Mohri,1630,31
94,Lawrence Carin,1629,61
95,Jieping Ye,1613,37
96,Csaba Szepesvari,1592,42
97,Pieter Abbeel,1567,23
98,Rajesh Ranganath,1526,6
99,Jiquan Ngiam,1524,6
100,Ari Lazier,1507,1
