words,count_2005,count_2006,count_2007,count_2008,count_2009,count_2010,count_2011,count_2012,count_2013,count_2014,count_2015,count_2016
learning,40.0,42.0,47.0,53.0,60.0,63.0,79.0,92.0,79.0,86.0,79.0,126.0
models,16.0,15.0,14.0,22.0,24.0,20.0,25.0,32.0,32.0,41.0,35.0,42.0
gaussian,14.0,8.0,6.0,10.0,7.0,8.0,13.0,13.0,13.0,15.0,12.0,9.0
analysis,13.0,7.0,15.0,11.0,14.0,12.0,13.0,11.0,7.0,13.0,15.0,12.0
visual,10.0,5.0,4.0,4.0,6.0,5.0,5.0,6.0,6.0,3.0,3.0,8.0
bayesian,10.0,18.0,11.0,13.0,20.0,11.0,8.0,22.0,20.0,17.0,16.0,23.0
fast,9.0,3.0,2.0,8.0,7.0,4.0,7.0,7.0,9.0,12.0,16.0,20.0
sparse,8.0,7.0,6.0,13.0,13.0,12.0,19.0,19.0,23.0,20.0,13.0,17.0
regression,8.0,7.0,6.0,10.0,12.0,13.0,8.0,8.0,10.0,7.0,8.0,13.0
networks,8.0,3.0,3.0,10.0,6.0,13.0,9.0,15.0,18.0,25.0,33.0,67.0
process,8.0,4.0,3.0,8.0,6.0,8.0,7.0,7.0,16.0,11.0,7.0,7.0
clustering,7.0,14.0,6.0,7.0,6.0,7.0,7.0,13.0,10.0,14.0,6.0,9.0
data,7.0,12.0,7.0,10.0,7.0,12.0,13.0,12.0,13.0,17.0,14.0,22.0
neural,7.0,2.0,10.0,7.0,7.0,7.0,11.0,11.0,18.0,28.0,22.0,47.0
kernel,7.0,8.0,4.0,11.0,8.0,7.0,7.0,9.0,7.0,10.0,9.0,10.0
activity,7.0,2.0,1.0,2.0,3.0,,,,1.0,4.0,,
estimation,7.0,,5.0,7.0,8.0,10.0,8.0,14.0,17.0,21.0,13.0,18.0
processes,6.0,4.0,9.0,5.0,5.0,9.0,8.0,14.0,7.0,4.0,3.0,8.0
approach,6.0,7.0,4.0,3.0,5.0,7.0,5.0,7.0,3.0,6.0,7.0,11.0
modeling,6.0,5.0,6.0,3.0,8.0,3.0,2.0,6.0,4.0,6.0,6.0,7.0
classification,6.0,12.0,6.0,10.0,7.0,12.0,9.0,19.0,6.0,15.0,5.0,5.0
detection,6.0,5.0,4.0,3.0,7.0,7.0,6.0,6.0,3.0,7.0,6.0,5.0
algorithms,6.0,6.0,7.0,7.0,3.0,4.0,10.0,8.0,17.0,6.0,11.0,2.0
bounds,6.0,6.0,5.0,7.0,3.0,4.0,3.0,6.0,6.0,4.0,11.0,10.0
inference,6.0,6.0,14.0,8.0,15.0,16.0,14.0,15.0,23.0,30.0,26.0,25.0
model,6.0,5.0,15.0,18.0,12.0,12.0,13.0,18.0,13.0,23.0,12.0,19.0
feature,5.0,3.0,4.0,6.0,6.0,8.0,3.0,8.0,6.0,11.0,2.0,10.0
latent,5.0,3.0,6.0,3.0,4.0,12.0,8.0,11.0,8.0,5.0,5.0,8.0
neuronal,5.0,,1.0,,,3.0,1.0,3.0,,2.0,1.0,
spectral,5.0,4.0,1.0,2.0,,1.0,4.0,5.0,5.0,10.0,11.0,9.0
object,5.0,2.0,2.0,2.0,9.0,5.0,7.0,8.0,1.0,3.0,6.0,7.0
active,5.0,1.0,5.0,2.0,3.0,8.0,9.0,5.0,8.0,3.0,6.0,7.0
based,5.0,3.0,1.0,5.0,2.0,4.0,7.0,5.0,4.0,4.0,2.0,9.0
markov,5.0,7.0,5.0,4.0,5.0,5.0,3.0,10.0,8.0,9.0,5.0,7.0
probabilistic,4.0,7.0,4.0,4.0,4.0,8.0,7.0,10.0,7.0,8.0,7.0,15.0
vector,4.0,2.0,5.0,2.0,2.0,1.0,,2.0,2.0,3.0,,
variational,4.0,4.0,5.0,1.0,3.0,3.0,6.0,8.0,9.0,10.0,12.0,18.0
application,4.0,4.0,6.0,4.0,5.0,3.0,4.0,5.0,5.0,7.0,4.0,3.0
method,4.0,4.0,1.0,3.0,5.0,2.0,4.0,7.0,2.0,7.0,3.0,11.0
structure,4.0,3.0,4.0,2.0,2.0,2.0,9.0,4.0,4.0,7.0,4.0,7.0
variable,4.0,,3.0,1.0,3.0,7.0,1.0,4.0,2.0,1.0,3.0,3.0
generalization,4.0,,,1.0,1.0,1.0,1.0,1.0,2.0,,4.0,1.0
design,4.0,,,3.0,1.0,2.0,1.0,,1.0,3.0,,2.0
regularized,4.0,2.0,1.0,4.0,3.0,5.0,3.0,2.0,3.0,,3.0,4.0
component,4.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,
efficient,4.0,5.0,6.0,8.0,9.0,7.0,15.0,9.0,9.0,14.0,13.0,14.0
convergence,4.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,5.0,4.0,8.0,2.0
selection,4.0,2.0,5.0,2.0,5.0,7.0,1.0,6.0,6.0,11.0,5.0,6.0
online,4.0,5.0,6.0,13.0,6.0,7.0,5.0,8.0,16.0,11.0,12.0,19.0
human,4.0,3.0,3.0,6.0,6.0,2.0,1.0,3.0,4.0,5.0,3.0,3.0
dynamic,4.0,2.0,5.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,2.0,9.0
framework,3.0,2.0,4.0,2.0,2.0,3.0,2.0,,2.0,6.0,9.0,4.0
multiple,3.0,5.0,2.0,7.0,6.0,7.0,8.0,7.0,7.0,3.0,1.0,5.0
policy,3.0,2.0,1.0,4.0,2.0,6.0,4.0,4.0,7.0,2.0,3.0,2.0
mixture,3.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,7.0,4.0,4.0,1.0
robust,3.0,,2.0,4.0,5.0,6.0,3.0,6.0,15.0,8.0,13.0,9.0
approximations,3.0,,,,,1.0,,1.0,1.0,1.0,,1.0
filters,3.0,1.0,,1.0,2.0,1.0,,,1.0,1.0,,1.0
infinite,3.0,,3.0,2.0,4.0,4.0,1.0,,,2.0,3.0,2.0
distributions,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,9.0,2.0,5.0,1.0
field,3.0,1.0,,2.0,,1.0,2.0,3.0,,2.0,1.0,3.0
recognition,3.0,2.0,4.0,5.0,6.0,5.0,6.0,6.0,1.0,4.0,1.0,8.0
propagation,3.0,2.0,4.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,4.0,3.0
search,3.0,2.0,5.0,3.0,6.0,3.0,4.0,5.0,9.0,7.0,5.0,5.0
spike,3.0,1.0,2.0,4.0,1.0,2.0,4.0,3.0,3.0,7.0,1.0,3.0
statistical,3.0,1.0,3.0,1.0,5.0,2.0,2.0,6.0,6.0,6.0,8.0,7.0
independent,3.0,3.0,3.0,,1.0,1.0,1.0,2.0,2.0,1.0,,
kernels,3.0,3.0,4.0,5.0,5.0,5.0,3.0,,2.0,2.0,4.0,4.0
function,3.0,1.0,,5.0,4.0,,4.0,8.0,2.0,3.0,2.0,
graphs,3.0,,2.0,1.0,7.0,5.0,3.0,7.0,4.0,6.0,10.0,3.0
motor,3.0,1.0,,4.0,1.0,,,1.0,,,,
manifold,3.0,2.0,2.0,,2.0,3.0,4.0,1.0,,1.0,2.0,
adaptation,3.0,3.0,2.0,5.0,1.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0
random,3.0,9.0,6.0,7.0,6.0,9.0,2.0,10.0,8.0,7.0,10.0,12.0
discovery,3.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0
graphical,3.0,1.0,2.0,2.0,5.0,3.0,4.0,10.0,8.0,16.0,5.0,8.0
information,3.0,5.0,4.0,2.0,4.0,8.0,5.0,5.0,3.0,5.0,6.0,10.0
network,3.0,4.0,3.0,2.0,2.0,8.0,4.0,2.0,1.0,12.0,11.0,9.0
large,3.0,6.0,3.0,5.0,3.0,11.0,8.0,2.0,3.0,4.0,2.0,6.0
semi-supervised,3.0,3.0,5.0,3.0,9.0,2.0,1.0,2.0,1.0,1.0,6.0,1.0
dynamical,3.0,3.0,1.0,3.0,2.0,1.0,2.0,4.0,1.0,,3.0,2.0
maximum,3.0,3.0,2.0,1.0,2.0,,6.0,3.0,5.0,1.0,2.0,4.0
diffusion,3.0,1.0,1.0,,,3.0,1.0,3.0,1.0,2.0,2.0,1.0
neurons,3.0,6.0,7.0,1.0,3.0,1.0,1.0,1.0,,2.0,,5.0
graph,3.0,8.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,7.0,6.0,6.0
silicon,3.0,,,,,,,,,,,
perception,3.0,,1.0,2.0,1.0,2.0,,,1.0,1.0,1.0,2.0
value,3.0,,1.0,,1.0,3.0,4.0,3.0,3.0,1.0,3.0,1.0
large-scale,3.0,2.0,2.0,1.0,1.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0
functions,3.0,5.0,3.0,3.0,4.0,8.0,2.0,6.0,4.0,6.0,4.0,14.0
spiking,3.0,5.0,6.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0
error,3.0,,1.0,,1.0,2.0,2.0,1.0,3.0,,1.0,3.0
methods,3.0,4.0,4.0,1.0,3.0,5.0,7.0,9.0,4.0,9.0,8.0,15.0
representations,3.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,4.0,7.0,3.0,7.0
boosting,2.0,2.0,5.0,2.0,3.0,2.0,3.0,1.0,3.0,4.0,1.0,3.0
noise,2.0,1.0,,4.0,2.0,1.0,6.0,2.0,3.0,2.0,3.0,2.0
over,2.0,,,1.0,,2.0,1.0,1.0,1.0,,1.0,2.0
top-down,2.0,,,,,,,,1.0,,,
consistency,2.0,,,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,
approximation,2.0,1.0,1.0,4.0,5.0,1.0,6.0,1.0,6.0,6.0,3.0,2.0
squares,2.0,,1.0,,,,2.0,,1.0,2.0,,2.0
separation,2.0,3.0,,,3.0,,,,1.0,,,1.0
least,2.0,,1.0,,,,2.0,,2.0,2.0,,2.0
shape,2.0,1.0,1.0,1.0,,,,2.0,,1.0,,2.0
optimizing,2.0,1.0,,,2.0,,,,1.0,2.0,,2.0
pattern,2.0,1.0,,,,,,,,3.0,,1.0
two,2.0,,,,,,1.0,,,,1.0,1.0
temporal,2.0,3.0,1.0,4.0,,3.0,3.0,,,2.0,1.0,2.0
control,2.0,,2.0,4.0,3.0,4.0,1.0,,4.0,1.0,5.0,2.0
maps,2.0,,,,2.0,,,,,1.0,,2.0
brain-computer,2.0,1.0,2.0,1.0,,,,,1.0,,,
particle,2.0,1.0,2.0,2.0,,,,2.0,1.0,,2.0,
prediction,2.0,6.0,3.0,6.0,5.0,2.0,6.0,11.0,1.0,7.0,13.0,14.0
eigenfunctions,2.0,,,,,,,,,,,
dopamine,2.0,,,,,,,,,,,
rate,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,,
searching,2.0,,,1.0,,,,1.0,,1.0,,
density,2.0,3.0,1.0,3.0,1.0,2.0,,1.0,3.0,5.0,,3.0
pca,2.0,4.0,1.0,2.0,1.0,2.0,,2.0,6.0,5.0,5.0,4.0
hierarchical,2.0,2.0,2.0,7.0,8.0,3.0,3.0,9.0,6.0,4.0,2.0,6.0
transfer,2.0,,2.0,2.0,,,3.0,,6.0,1.0,,2.0
real-time,2.0,1.0,,,,,1.0,,1.0,2.0,1.0,
synaptic,2.0,,,1.0,1.0,2.0,,,,2.0,1.0,
laplacian,2.0,3.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0
nonparametric,2.0,5.0,,4.0,9.0,2.0,1.0,13.0,5.0,4.0,3.0,4.0
images,2.0,3.0,4.0,3.0,,4.0,5.0,4.0,1.0,1.0,1.0,6.0
response,2.0,2.0,,3.0,,,2.0,1.0,,,2.0,2.0
spatial,2.0,2.0,2.0,,2.0,3.0,3.0,,1.0,,2.0,
