,author,cite_num,paper_num
0,Ilya Sutskever,16768,11
1,Geoffrey E. Hinton,14089,21
2,Alex Krizhevsky,11057,1
3,Andrew Y. Ng,9019,27
4,David M. Blei,6224,17
5,Yoshua Bengio,4963,29
6,Jeff Dean,4826,3
7,Kai Chen,4445,2
8,Tomas Mikolov,4064,3
9,Greg S. Corrado,3981,2
10,Ruslan R. Salakhutdinov,3977,32
11,Honglak Lee,3969,14
12,Quoc V. Le,3884,12
13,Prof. Bernhard Schalkopf,3531,29
14,Francis R. Bach,3479,21
15,Rob Fergus,3210,12
16,Antonio Torralba,3188,18
17,Hugo Larochelle,3169,7
18,Pietro Perona,2908,5
19,Alex J. Smola,2882,20
20,Eric P. Xing,2844,28
21,Marc'Aurelio Ranzato,2770,7
22,Andrew Zisserman,2741,11
23,Tong Zhang,2720,22
24,Christof Koch,2626,3
25,Jonathan Harel,2620,2
26,Zoubin Ghahramani,2550,29
27,Michael I. Jordan,2533,45
28,Pradeep K. Ravikumar,2469,37
29,Yann LeCun,2344,12
30,John Blitzer,2251,5
31,Arthur Gretton,2218,20
32,Andriy Mnih,2217,4
33,Martin J. Wainwright,2117,24
34,Pascal Lamblin,2091,2
35,Dan Popovici,2076,1
36,Alexis Battle,2049,2
37,Kilian Q. Weinberger,2042,10
38,Rajat Raina,2030,1
39,Oriol Vinyals,2005,9
40,Yair Weiss,1911,9
41,Lawrence K. Saul,1886,7
42,Jon D. Mcauliffe,1725,2
43,Benjamin Recht,1691,5
44,Thomas L. Griffiths,1652,20
45,Inderjit S. Dhillon,1633,33
46,Karsten M. Borgwardt,1526,6
47,Max Welling,1448,16
48,John D. Lafferty,1447,11
49,Partha Niyogi,1410,4
50,Ryan P. Adams,1368,18
51,Sam T. Roweis,1303,5
52,Gary Bradski,1293,3
53,John Langford,1279,14
54,Kunle Olukotun,1273,4
55,Massimiliano Pontil,1234,11
56,Christopher D. Manning,1228,8
57,Koby Crammer,1226,12
58,Edo M. Airoldi,1224,4
59,Xiaofei He,1222,4
60,Cheng-tao Chu,1216,1
61,Sang K. Kim,1216,1
62,Richard Socher,1216,6
63,Yi-an Lin,1216,1
64,Yuanyuan Yu,1216,1
65,Deng Cai,1196,2
66,Kai Yu,1173,10
67,Csaba Szepesvari,1168,22
68,Guillermo Sapiro,1162,8
69,Le Song,1160,24
70,Juergen Schmidhuber,1156,9
71,Julien Mairal,1153,6
72,Stephen E. Fienberg,1147,1
73,Rong Jin,1139,22
74,Lihong Li,1121,5
75,Amir Globerson,1116,9
76,Fernando Pereira,1114,6
77,Yee W. Teh,1113,19
78,Ashutosh Saxena,1100,8
79,Trevor Darrell,1099,14
